X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
45.166244,-12.8275,44,Mayotte,France,2020-04-16T10:35:12.000Z,-12.8275,45.166244,217,69,3
151.2093,-33.8688,48,New South Wales,Australia,2020-04-16T10:42:57.000Z,-33.8688,151.2093,2897,4,25
-57.6604,53.1355,49,Newfoundland and Labrador,Canada,2020-04-16T10:42:41.000Z,53.1355,-57.6604,247,0,3
-63.7443,44.682,53,Nova Scotia,Canada,2020-04-16T10:42:41.000Z,44.682,-63.7443,549,0,3
-85.3232,51.2538,54,Ontario,Canada,2020-04-16T10:42:41.000Z,51.2538,-85.3232,8447,0,385
-73.5491,52.9399,57,Quebec,Canada,2020-04-16T10:42:41.000Z,52.9399,-73.5491,14860,0,487
153.0251,-27.4698,58,Queensland,Australia,2020-04-16T10:42:57.000Z,-27.4698,153.0251,1001,442,5
-106.4509,52.9399,63,Saskatchewan,Canada,2020-04-16T10:42:41.000Z,52.9399,-106.4509,304,0,4
108.8701,35.1917,64,Shaanxi,China,2020-04-15T01:20:59.000Z,35.1917,108.8701,256,251,3
118.1498,36.3427,65,Shandong,China,2020-04-15T00:52:31.000Z,36.3427,118.1498,784,761,7
121.4491,31.202,66,Shanghai,China,2020-04-16T06:35:57.000Z,31.202,121.4491,628,489,7
102.7103,30.6171,68,Sichuan,China,2020-04-16T01:07:06.000Z,30.6171,102.7103,560,552,3
-63.0548,18.0425,69,Sint Maarten,Netherlands,2020-04-16T10:35:12.000Z,18.0425,-63.0548,53,5,9
138.6007,-34.9285,70,South Australia,Australia,2020-04-16T10:42:57.000Z,-34.9285,138.6007,433,279,4
-63.0501,18.0708,71,St Martin,France,2020-04-16T10:35:12.000Z,18.0708,-63.0501,35,13,2
147.3272,-42.8821,72,Tasmania,Australia,2020-04-16T10:42:57.000Z,-42.8821,147.3272,169,67,6
117.323,39.3054,73,Tianjin,China,2020-04-16T01:35:28.000Z,39.3054,117.323,185,174,3
